# fbus,tbus,r,x,b,rateA,rateB,rateC,tap,shift,status,angmin,angmax
1.000000000000000000e+00,2.000000000000000000e+00,9.220000000000000417e-02,4.700000000000000011e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
2.000000000000000000e+00,3.000000000000000000e+00,4.929999999999999938e-01,2.510999999999999899e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
3.000000000000000000e+00,4.000000000000000000e+00,3.659999999999999920e-01,1.864000000000000101e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
4.000000000000000000e+00,5.000000000000000000e+00,3.810999999999999943e-01,1.940999999999999948e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
5.000000000000000000e+00,6.000000000000000000e+00,8.189999999999999503e-01,7.069999999999999618e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
6.000000000000000000e+00,7.000000000000000000e+00,1.872000000000000053e-01,6.188000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
7.000000000000000000e+00,8.000000000000000000e+00,7.114000000000000323e-01,2.351000000000000034e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
8.000000000000000000e+00,9.000000000000000000e+00,1.030000000000000027e+00,7.399999999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
9.000000000000000000e+00,1.000000000000000000e+01,1.044000000000000039e+00,7.399999999999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.000000000000000000e+01,1.100000000000000000e+01,1.965999999999999970e-01,6.500000000000000222e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.100000000000000000e+01,1.200000000000000000e+01,3.744000000000000106e-01,1.237999999999999934e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.200000000000000000e+01,1.300000000000000000e+01,1.467999999999999972e+00,1.155000000000000027e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.300000000000000000e+01,1.400000000000000000e+01,5.415999999999999703e-01,7.128999999999999782e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.400000000000000000e+01,1.500000000000000000e+01,5.909999999999999698e-01,5.260000000000000231e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.500000000000000000e+01,1.600000000000000000e+01,7.462999999999999634e-01,5.450000000000000400e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
1.600000000000000000e+01,1.700000000000000000e+01,1.288999999999999924e+00,1.721000000000000085e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.600000000000000000e+02,3.600000000000000000e+02
